grid_id,bonus_nats,penalty_nats,max_target_mass,max_kl_budget,base_mean_target_mass,task_only_mean_target_mass,controlled_protected_mean_target_mass,wrong_key_controlled_mean_target_mass,wrong_payload_controlled_mean_target_mass,controlled_protected_lift_vs_base,controlled_protected_lift_vs_task_only,wrong_key_lift_vs_base,wrong_payload_lift_vs_base,controlled_protected_rank1_rate,controlled_protected_median_margin,wrong_key_rank1_rate,wrong_payload_rank1_rate,protected_basic_gate_pass,wrong_key_basic_gate_pass,wrong_payload_basic_gate_pass,null_selectivity_pass,overall_selective_gate_pass
grid_20,0.5,0.25,0.35,0.05,0.00483183704383805,0.0016724278486419664,0.32257348200073466,0.2768831036833035,0.23161212356353644,0.3177416449568966,0.3209010541520927,0.27205126663946544,0.2267802865196984,1.0,0.33993451157584786,1.0,1.0,True,True,True,False,False
grid_21,0.5,0.25,0.35,0.1,0.00483183704383805,0.0016724278486419664,0.32257348200073466,0.2768831036833035,0.23161212356353644,0.3177416449568966,0.3209010541520927,0.27205126663946544,0.2267802865196984,1.0,0.33993451157584786,1.0,1.0,True,True,True,False,False
grid_22,0.5,0.25,0.45,0.05,0.00483183704383805,0.0016724278486419664,0.3420891094719991,0.28648465959713576,0.23161212356353644,0.33725727242816106,0.34041668162335714,0.2816528225532977,0.2267802865196984,1.0,0.3492303755847388,1.0,1.0,True,True,True,False,False
grid_23,0.5,0.25,0.45,0.1,0.00483183704383805,0.0016724278486419664,0.3420891094719991,0.28648465959713576,0.23161212356353644,0.33725727242816106,0.34041668162335714,0.2816528225532977,0.2267802865196984,1.0,0.3492303755847388,1.0,1.0,True,True,True,False,False
grid_24,0.75,0.0,0.25,0.05,0.00483183704383805,0.0016724278486419664,0.30850185653252993,0.2908633039924098,0.2731786575532169,0.3036700194886919,0.30682942868388796,0.28603146694857173,0.26834682050937886,1.0,0.24987678404067992,1.0,1.0,True,True,True,False,False
grid_25,0.75,0.0,0.25,0.1,0.00483183704383805,0.0016724278486419664,0.30850185653252993,0.2908633039924098,0.2731786575532169,0.3036700194886919,0.30682942868388796,0.28603146694857173,0.26834682050937886,1.0,0.24987678404067992,1.0,1.0,True,True,True,False,False
grid_26,0.75,0.0,0.35,0.05,0.00483183704383805,0.0016724278486419664,0.34079981555987615,0.3069895558701319,0.2731786575532169,0.3359679785160381,0.3391273877112342,0.30215771882629383,0.26834682050937886,1.0,0.347127520115464,1.0,1.0,True,True,True,False,False
grid_27,0.75,0.0,0.35,0.1,0.00483183704383805,0.0016724278486419664,0.34181410721794236,0.3074826433230555,0.2731786575532169,0.3369822701741043,0.3401416793693004,0.3026508062792175,0.26834682050937886,1.0,0.3479973888024688,1.0,1.0,True,True,True,False,False
grid_28,0.75,0.0,0.45,0.05,0.00483183704383805,0.0016724278486419664,0.3672800746426219,0.32008281325852295,0.2731786575532169,0.36244823759878386,0.36560764679397995,0.3152509762146849,0.26834682050937886,1.0,0.38834858140035067,1.0,1.0,True,True,True,False,False
grid_29,0.75,0.0,0.45,0.1,0.00483183704383805,0.0016724278486419664,0.3719217342004413,0.3224135707396272,0.2731786575532169,0.36708989715660323,0.3702493063517993,0.3175817336957891,0.26834682050937886,1.0,0.40766581760544796,1.0,1.0,True,True,True,False,False
grid_30,0.75,0.25,0.25,0.05,0.00483183704383805,0.0016724278486419664,0.3085615330055589,0.2697271388019544,0.23125654047908029,0.30372969596172084,0.3068891051569169,0.2648953017581164,0.22642470343524224,1.0,0.24988824441243196,0.997314453125,0.99609375,True,True,True,False,False
grid_31,0.75,0.25,0.25,0.1,0.00483183704383805,0.0016724278486419664,0.3085615330055589,0.2697271388019544,0.23125654047908029,0.30372969596172084,0.3068891051569169,0.2648953017581164,0.22642470343524224,1.0,0.24988824441243196,0.997314453125,0.99609375,True,True,True,False,False
grid_32,0.75,0.25,0.35,0.05,0.00483183704383805,0.0016724278486419664,0.34086169964575674,0.28585508508467683,0.23125654047908029,0.3360298626019187,0.3391892717971148,0.2810232480408388,0.22642470343524224,1.0,0.3474293927429244,0.997314453125,0.99609375,True,True,True,False,False
grid_33,0.75,0.25,0.35,0.1,0.00483183704383805,0.0016724278486419664,0.34189401373441797,0.28635660305144484,0.23125654047908029,0.3370621766905799,0.340221585885776,0.2815247660076068,0.22642470343524224,1.0,0.3482456646161154,0.997314453125,0.99609375,True,True,True,False,False
grid_34,0.75,0.25,0.45,0.05,0.00483183704383805,0.0016724278486419664,0.36733307693793904,0.29894386240403037,0.23125654047908029,0.362501239894101,0.3656606490892971,0.2941120253601923,0.22642470343524224,1.0,0.3886253328528255,0.997314453125,0.99609375,True,True,True,False,False
grid_35,0.75,0.25,0.45,0.1,0.00483183704383805,0.0016724278486419664,0.37202470596821513,0.30129897397773675,0.23125654047908029,0.3671928689243771,0.37035227811957316,0.2964671369338987,0.22642470343524224,1.0,0.40816579358215677,0.997314453125,0.99609375,True,True,True,False,False
grid_36,1.0,0.0,0.25,0.05,0.00483183704383805,0.0016724278486419664,0.3121467625896912,0.2924167153714734,0.2726790046363021,0.30731492554585316,0.31047433474104924,0.28758487832763535,0.2678471675924641,1.0,0.24987962141312892,0.997314453125,0.99609375,True,True,True,False,False
grid_37,1.0,0.0,0.25,0.1,0.00483183704383805,0.0016724278486419664,0.31474138543126173,0.2936912616050904,0.2726790046363021,0.3099095483874237,0.31306895758261977,0.28885942456125235,0.2678471675924641,1.0,0.24987962141312892,0.997314453125,0.99609375,True,True,True,False,False
grid_38,1.0,0.0,0.35,0.05,0.00483183704383805,0.0016724278486419664,0.34459188746404834,0.30862274843002524,0.2726790046363021,0.3397600504202103,0.3429194596154064,0.3037909113861872,0.2678471675924641,1.0,0.347127520115464,0.997314453125,0.99609375,True,True,True,False,False
grid_39,1.0,0.0,0.35,0.1,0.00483183704383805,0.0016724278486419664,0.3562249166716356,0.3144474192586131,0.2726790046363021,0.35139307962779753,0.3545524888229936,0.30961558221477503,0.2678471675924641,1.0,0.34941172154503874,0.997314453125,0.99609375,True,True,True,False,False
grid_40,1.0,0.0,0.45,0.05,0.00483183704383805,0.0016724278486419664,0.3710721456736792,0.32171600532728917,0.2726790046363021,0.36624030862984114,0.3693997178250372,0.3168841682834511,0.2678471675924641,1.0,0.38834858140035067,0.997314453125,0.99609375,True,True,True,False,False
grid_41,1.0,0.0,0.45,0.1,0.00483183704383805,0.0016724278486419664,0.39621542164240964,0.3342722744373532,0.2726790046363021,0.3913835845985716,0.39454299379376767,0.32944043739351514,0.2678471675924641,1.0,0.4390673958696425,0.997314453125,0.99609375,True,True,True,False,False
grid_42,1.0,0.25,0.25,0.05,0.00483183704383805,0.0016724278486419664,0.3121187304495834,0.2712615817849837,0.23080387261143187,0.30728689340574533,0.3104463026009414,0.26642974474114567,0.22597203556759382,1.0,0.24988571897119982,0.9945068359375,0.990234375,True,True,True,False,False
